CODE,DESCRIPTION,DEPARTMENT,STANDARDCOST,LASTCOST,AVERAGECOST,PRICE1,PRICE4,SUPPLIER,DISCONTINUE
74,twisties chicken 20g,12,0.0,0.3635,0.3635,0.6,0.0,15.0,False
75,BSM SEO 80g,12,0.9,0.8209,0.8209,1.5,0.0,53.0,True
76,Garam Bhuddah120g,12,0.9,2.35,2.2676,3.0,0.0,45.0,True
77,Playing Cards,13,1.0,0.8695,0.8695,2.0,0.0,41.0,False
78,Digi1,17,0.93,0.8696,0.8696,1.0,0.0,32.0,False
79,Digi7,17,5.64,6.0367,6.0367,7.0,0.0,0.0,True
80,bic erasor blade,13,1.319,1.3043,1.3043,2.0,0.0,14.0,False
81,Hansel,12,0.75,0.6881,0.6881,1.0,0.0,7.0,True
82,Freight,1,2.18,3.211,2.0424,2.5,0.0,76.0,False
83,VDRINK250ML,18,4.8,5.7572,5.7572,6.0,10.0,0.0,True
84,Checker,12,0.5,0.3623,0.3623,1.0,0.0,92.0,False
85,Kool Shake Vanilla,15,0.857,0.7454,0.7454,1.2,0.0,15.0,False
86,Cooler Bag,13,30.0,30.0,30.0,50.0,0.0,15.0,False
87,GOLDER MOSQUITO COIL 10S,13,2.0,1.3044,1.3194,3.0,0.0,14.0,False
88,701,2,20.0,40.0,40.0,0.0,0.0,0.0,True
89,702,2,40.0,50.0,50.0,0.0,0.0,0.0,True
90,703,2,60.0,60.0,50.0,0.0,0.0,0.0,True
91,704,2,30.0,60.0,60.0,0.0,0.0,0.0,True
92,705,2,30.0,40.0,40.0,0.0,0.0,0.0,True
93,706,2,30.0,60.0,60.0,0.0,0.0,0.0,True
94,707,2,30.0,50.0,50.0,0.0,0.0,0.0,True
95,708,2,30.0,40.0,40.0,0.0,0.0,0.0,True
96,709,2,30.0,40.0,40.0,0.0,0.0,0.0,True
97,710,2,50.0,50.0,50.0,0.0,0.0,0.0,True
98,Voda4,17,3.76,3.2696,3.2696,4.0,0.0,7.0,True
99,711,2,80.0,80.0,80.0,0.0,0.0,0.0,True
100,Phone Charging,13,1.0,1.0,1.0,2.0,2.0,0.0,False
102,Urea 1kg,10,1.098,1.098,1.098,2.0,0.0,86.0,False
103,Nova/Piato,1,2.5,2.5,2.5,3.0,0.0,0.0,True
104,UBM Choc biscuit200g,12,1.84,1.6667,1.6873,2.5,0.0,0.0,True
105,NPK 1kg,10,1.2549,1.2549,1.2549,2.0,0.0,86.0,True
106,TSP 1kg,10,1.1609,1.1609,1.1609,2.0,0.0,86.0,True
107,Sixth Scents,13,2.97,2.2221,2.2221,3.8,0.0,0.0,True
108,Raffle $1,1,0.8,0.8,0.8,1.0,0.0,0.0,True
109,pk4s,1,0.5,0.5,0.5,1.0,0.0,0.0,True
110,ink7,17,6.58,6.0367,6.0367,7.0,0.0,0.0,True
111,jug 1l,13,0.0,3.4348,3.4348,0.0,0.0,172.0,False
112,Peanut ruff,1,0.6,0.6,0.6,1.0,0.0,0.0,True
113,Honey1000ml,24,17.0,14.7826,14.7826,21.0,0.0,0.0,True
114,Coffee Cup,13,0.5,0.2417,0.2417,1.0,1.0,0.0,False
115,Golden Drop 750ml,24,2.4,2.0935,2.0935,2.55,0.0,0.0,True
116,BUTTER NUT,12,0.1,0.0522,0.0533,0.15,0.2,122.0,False
117,Red Label nip,1,3.5,3.5,3.5,5.0,0.0,0.0,True
118,Coke330,1,1.69,1.69,1.69,2.0,0.0,0.0,True
119,Extras,13,0.8,0.8,0.8,1.0,1.0,0.0,False
120,Ice Cream4.5L,15,180.0,11.4,11.4,22.0,0.0,0.0,True
121,Hydro Complex 1kg,10,1.6666,1.6666,1.6666,2.5,0.0,86.0,False
122,Agri-Lime,10,0.6,0.5534,0.5534,1.0,0.0,86.0,False
123,Amine 5L,10,0.0,40.7982,40.7982,68.0,0.0,86.0,True
124,Glyphosate 5L,10,49.95,34.1993,35.1238,50.0,0.0,86.0,False
125,MCPA,10,0.0,18.3119,18.3119,28.0,0.0,87.0,False
126,Sundothrin,10,0.0,38.1193,38.1193,58.0,0.0,87.0,False
127,Suncis 1L,10,0.0,31.367,31.367,48.0,0.0,87.0,False
128,Malathion 1L,10,0.0,24.2018,24.2018,40.0,0.0,87.0,False
129,Prevathon 100ml,10,0.0,31.1009,31.1009,48.0,0.0,87.0,False
130,Benomyl 100g,10,0.0,6.0826,6.0826,10.0,0.0,87.0,False
131,Growth Formula,10,0.0,15.1835,15.1835,24.0,0.0,87.0,False
132,nukunuku2,1,0.0,6.6055,2.8972,0.4,0.0,88.0,False
133,nukunuku1,1,0.0,6.6055,1.7893,0.0,0.0,88.0,False
134,EFL bill,1,0.0,0.9174,0.5466,0.0,0.0,88.0,False
135,Connect  Bill,1,0.0,35.7798,0.5584,0.0,0.0,88.0,False
136,Water Bill,1,0.0,5.0642,5.0642,0.0,0.0,89.0,False
137,Lettuce7Won20g,10,7.87,7.2202,7.2202,11.0,0.0,35.0,True
138,Lettuce1g,10,0.3935,0.3935,0.3935,1.0,0.0,0.0,True
139,Okra Tin,10,20.3,18.6239,18.6239,28.0,0.0,0.0,True
140,Okra Pkt,10,0.3222,0.3222,0.3222,1.0,0.0,0.0,False
141,Cow Peas 500g,10,6.0,5.5046,5.5046,7.0,0.0,0.0,False
142,Cow Peas 50g,10,0.6,0.6,0.6,1.0,0.0,0.0,False
143,Capscicum 20g,10,5.2,4.7706,4.7706,7.0,0.0,0.0,True
144,Capscicum pkt,10,0.3714,0.3714,0.3714,1.0,0.0,0.0,True
145,Tomato 10g,10,20.3,18.6239,18.6239,28.0,0.0,0.0,True
146,Tomato Pkts,10,1.45,1.45,1.45,2.5,0.0,0.0,True
147,Farmers Giant 10g,10,0.0,6.6055,6.6055,10.0,0.0,0.0,True
148,WaterMelon Fielder Master 100g,10,0.0,24.9541,24.9541,29.5,0.0,0.0,True
149,Butter Bean 500g,10,5.5,5.0459,5.0459,8.0,0.0,0.0,False
150,Butter Bean 50g,10,0.55,0.55,0.55,1.0,0.0,0.0,False
151,French Bean 500g,10,5.0,4.5872,4.5872,7.5,0.0,0.0,False
152,French Bean 50g,10,0.5,0.5,0.5,1.0,0.0,0.0,False
153,Long Bean,10,16.9,15.5046,15.5046,25.0,0.0,0.0,False
154,Long Bean Pkt,10,1.69,1.69,1.69,2.0,0.0,0.0,False
155,White Long Bean 100g,10,0.0,5.0459,5.0459,8.0,0.0,0.0,True
156,Summer Autum 100g,10,0.0,10.8715,10.8715,17.0,0.0,0.0,True
157,Karela 20g,10,7.0,6.422,6.422,10.0,0.0,0.0,True
158,Karela Pkt,10,0.5,0.5,0.5,1.0,0.0,0.0,True
159,Karela e/star 10g,10,7.2,6.6055,6.6055,10.0,0.0,0.0,True
160,Karela e/star pkt,10,0.72,0.72,0.72,2.0,0.0,0.0,True
161,Malathiol 1L,10,0.0,26.4128,26.4128,40.0,0.0,0.0,True
162,Diazimon 1L,10,0.0,31.3669,31.3669,45.0,0.0,0.0,False
163,Multiguard 1L,10,0.0,41.055,41.055,62.0,0.0,0.0,False
164,Superguard 1L,10,0.0,28.1651,28.1651,43.0,0.0,0.0,True
165,Light Green Long Bean 500g,10,16.9,16.9,16.9,25.0,0.0,0.0,False
166,Light Green Long Bean pkt,10,1.69,1.69,1.69,2.0,0.0,0.0,False
167,Barfi,12,0.7,0.6422,0.6422,1.0,0.0,12.0,True
168,Lakri,12,0.4,0.367,0.367,0.5,0.0,12.0,True
169,BH20 SWITCH,16,0.0,0.0,0.0,18.0,0.0,7.0,False
170,UBM Cracker360g,12,2.7,2.7,2.7,3.5,0.0,59.0,True
171,UBM Square Puff360g,12,2.7,2.4425,2.4425,3.5,0.0,59.0,True
172,tuckers vanilla ice-cream cone,15,0.0,1.0,1.0,0.0,0.0,15.0,False
173,billiard,13,0.0,0.0,0.0,0.5,0.5,173.0,False
174,cassava Chips small,12,0.0,0.367,0.367,0.5,0.0,12.0,True
175,Cassava chips big,12,0.0,0.734,0.734,1.0,0.0,12.0,True
176,Rice Chheda small,12,0.0,0.367,0.367,0.5,0.0,12.0,True
